corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc-coref,r0px.0,750,36080,0,766,20151,0
gdc-coref,r0px.0,750,36080,0,20157,36080,0
gdc-coref,r0px.0,36088,66071,0,36105,45634,0
gdc-coref,r0px.0,36088,66071,0,45640,54617,0
gdc-coref,r0px.0,36088,66071,0,54623,66071,0
gdc-coref,r0px.0,66079,97992,0,66096,80305,0
gdc-coref,r0px.0,66079,97992,0,80312,97992,0
gdc-coref,r0px.0,98000,127748,0,98017,107814,0
gdc-coref,r0px.0,98000,127748,0,107820,112037,0
gdc-coref,r0px.0,98000,127748,0,112043,118913,0
gdc-coref,r0px.0,98000,127748,0,118920,121152,0
gdc-coref,r0px.0,98000,127748,0,121159,127748,0
gdc-coref,r0px.0,127756,148952,0,127773,148952,0
