corpus,drama,figure_surface,figure_id,Gender,Age
gdc,nvk1.0,VON DER STRASSE HERAUF,von_der_strasse_herauf,,
gdc,nvk1.0,ZWEITER DIENER,zweiter_diener,,
gdc,nvk1.0,GESANG,gesang,,
gdc,nvk1.0,BEFEHLSHABER,befehlshaber,,
gdc,nvk1.0,GESCHREI,geschrei,,
gdc,nvk1.0,KAMMERFRAU,kammerfrau,,
gdc,nvk1.0,SOLDAT,soldat,,
gdc,nvk1.0,ZWEITER BEGLEITER,zweiter_begleiter,,
gdc,nvk1.0,EDELMANN,edelmann,,
gdc,nvk1.0,KÖNIGIN,königin,,
gdc,nvk1.0,OTTO,otto,,
gdc,nvk1.0,ERSTER BEGLEITER,erster_begleiter,,
gdc,nvk1.0,ERNY,erny,,
gdc,nvk1.0,ZWEITER ANFÜHRER,anführer,,
gdc,nvk1.0,DIENER,diener,,
gdc,nvk1.0,ARZT,arzt,,
gdc,nvk1.0,BANCBANUS,bancbanus,,
gdc,nvk1.0,VIELE STIMMEN,viele_stimmen,,
gdc,nvk1.0,GERTRUDE,gertrude,,
gdc,nvk1.0,SIMON,simon,,
gdc,nvk1.0,ERSTER EDELMANN,erster_edelmann,,
gdc,nvk1.0,SCHLOSSHAUPTMANN,schlosshauptmann,,
gdc,nvk1.0,KÄMMERER,kämmerer,,
gdc,nvk1.0,ZWEITER EDELMANN,zweiter_edelmann,,
gdc,nvk1.0,UNGARISCHER ANFÜHRER,ungarischer_anführer,,
gdc,nvk1.0,EIN GEWAFFNETER,ein_gewaffneter,,
gdc,nvk1.0,ALLE,alle,,
gdc,nvk1.0,BELA,bela,,
gdc,nvk1.0,HAUPTMANN,hauptmann,,
gdc,nvk1.0,GRAF PETER,graf_peter,,
gdc,nvk1.0,DIENERIN,dienerin,,
gdc,nvk1.0,EIN DIENER,ein_diener,,
gdc,nvk1.0,KÖNIG,könig,,
