corpus,drama,figure_surface,figure_id,Gender,Age
gdc-coref,jn65.0,GROSSKNECHT,grossknecht,,
gdc-coref,jn65.0,VRONI,vroni,,
gdc-coref,jn65.0,CRESCENZ,crescenz,,
gdc-coref,jn65.0,TONI,toni,,
gdc-coref,jn65.0,FERNER,ferner,,
gdc-coref,jn65.0,HÖLLERER,höllerer,,
gdc-coref,jn65.0,MIRZL,mirzl,,
gdc-coref,jn65.0,MUCKERL,muckerl,,
gdc-coref,jn65.0,BURGEI,burgei,,
gdc-coref,jn65.0,ANNERL,annerl,,
gdc-coref,jn65.0,WABERL,waberl,,
gdc-coref,jn65.0,GRETL,gretl,,
gdc-coref,jn65.0,CHOR,chor,,
gdc-coref,jn65.0,FRANZ,franz,,
gdc-coref,jn65.0,LEVY,levy,,
gdc-coref,jn65.0,LIES,lies,,
gdc-coref,jn65.0,JAKOB,jakob,,
gdc-coref,jn65.0,ERSTER SCHWÄRZER,erster_schwärzer,,
gdc-coref,jn65.0,ZWEITER SCHWÄRZER,zweiter_schwärzer,,
gdc-coref,jn65.0,BADER,bader,,
gdc-coref,jn65.0,MAHM,mahm,,
gdc-coref,jn65.0,ROSL,rosl,,
gdc-coref,jn65.0,KATHREIN,kathrein,,
