corpus,drama,figure_surface,figure_id,Gender,Age
gdc-coref,wznr.0,JUSTITZRÄTHIN,justitzräthin,,
gdc-coref,wznr.0,CHRISTIAN,christian,,
gdc-coref,wznr.0,CAROLINE,caroline,,
gdc-coref,wznr.0,BETTELWEIB,bettelweib,,
gdc-coref,wznr.0,FRANZÖSIN,französin,,
gdc-coref,wznr.0,JUD,jud,,
gdc-coref,wznr.0,OFFICIER,ein_officier,,
gdc-coref,wznr.0,WILHELM,wilhelm,,
gdc-coref,wznr.0,KARL,karl,,
gdc-coref,wznr.0,WERNER,werner,,
gdc-coref,wznr.0,WALZ,walz,,
gdc-coref,wznr.0,FELDSCHEER,feldscheer,,
gdc-coref,wznr.0,LANGEN,langen,,
gdc-coref,wznr.0,LENCHEN,lenchen,,
gdc-coref,wznr.0,FRIDERICKE,fridericke,,
gdc-coref,wznr.0,DOKTOR,doktor,,
