corpus,drama,figure_surface,figure_id,Gender,Age
gdc-coref,s6m6.0,Weiler,weiler,MALE,
gdc-coref,s6m6.0,Wirt,wirt,MALE,
gdc-coref,s6m6.0,Buchjäger,buchjaeger,MALE,
gdc-coref,s6m6.0,Förster,foerster,MALE,
gdc-coref,s6m6.0,Andres,andres,MALE,
gdc-coref,s6m6.0,Marie,marie,FEMALE,
gdc-coref,s6m6.0,Frei,frei,MALE,
gdc-coref,s6m6.0,Stein,stein,MALE,
gdc-coref,s6m6.0,Pastor,pastor,MALE,
gdc-coref,s6m6.0,Wilkens,wilkens,MALE,
gdc-coref,s6m6.0,Försterin,foersterin,FEMALE,
gdc-coref,s6m6.0,Lindenschmied,lindenschmied,MALE,
gdc-coref,s6m6.0,Kathrine,kathrine,FEMALE,
gdc-coref,s6m6.0,Möller,moeller,MALE,
gdc-coref,s6m6.0,Bastian,bastian,MALE,
gdc-coref,s6m6.0,Robert,robert,MALE,
gdc-coref,s6m6.0,Wilhelm,wilhelm,MALE,
