corpus,drama,figure_surface,figure_id,Gender,Age
gdc-coref,sjhr.0,FÄRBER,färber,,
gdc-coref,sjhr.0,PRÄZOLD,präzold,,
gdc-coref,sjhr.0,WERRA,werra,,
gdc-coref,sjhr.0,DR. KARFUNKELSTEIN,dr_karfunkelstein,,
gdc-coref,sjhr.0,RUND,rund,,
gdc-coref,sjhr.0,SEEBALD,seebald,,
gdc-coref,sjhr.0,KLAGENFURTER,klagenfurter,,
gdc-coref,sjhr.0,STIMMEN,stimmen,,
gdc-coref,sjhr.0,LEUTNANT,leutnant,,
gdc-coref,sjhr.0,BRAUN,braun,,
gdc-coref,sjhr.0,TRAMBAHNSCHAFFNERIN,trambahnschaffnerin,,
gdc-coref,sjhr.0,DR. BOSSENIUS,dr_bossenius,,
gdc-coref,sjhr.0,ARBEITER,arbeiter,,
gdc-coref,sjhr.0,FISCHER,fischer,,
gdc-coref,sjhr.0,TIEDTKEN,tiedtken,,
gdc-coref,sjhr.0,LASSMANN,lassmann,,
gdc-coref,sjhr.0,KLARA,klara,,
gdc-coref,sjhr.0,RUFE,rufe,,
gdc-coref,sjhr.0,SOLDATEN,soldaten,,
gdc-coref,sjhr.0,TESSENDORFF,tessendorff,,
gdc-coref,sjhr.0,FRAU LASSMANN,frau_lassmann,,
gdc-coref,sjhr.0,STRAUSS,strauss,,
gdc-coref,sjhr.0,SCHENK,schenk,,
gdc-coref,sjhr.0,TRAMBAHNFÜHRER,trambahnführer,,
gdc-coref,sjhr.0,FLORA,flora,,
gdc-coref,sjhr.0,LECHARJOW,lecharjow,,
gdc-coref,sjhr.0,KELLNERIN,kellnerin,,
gdc-coref,sjhr.0,DIETRICH,dietrich,,
gdc-coref,sjhr.0,MARIE,marie,,
gdc-coref,sjhr.0,ROSA,rosa,,
gdc-coref,sjhr.0,TROTZ,trotz,,
gdc-coref,sjhr.0,DAMEN,damen,,
gdc-coref,sjhr.0,UNTEROFFIZIER,unteroffizier,,
gdc-coref,sjhr.0,FRAU SCHENK,frau_schenk,,
gdc-coref,sjhr.0,EIN ARBEITER,ein_arbeiter,,
