corpus,drama,figure_surface,figure_id,Gender,Age
gdc-coref,11g9w.0,Vansen,vansen,MALE,
gdc-coref,11g9w.0,Bürger,buerger_d,MALE,
gdc-coref,11g9w.0,Ein Bürger,ein_buerger_a,MALE,
gdc-coref,11g9w.0,Alle (I/1),alle_1-1,UNKNOWN,
gdc-coref,11g9w.0,Brackenburg,brackenburg,MALE,
gdc-coref,11g9w.0,Regentin,regentin,FEMALE,
gdc-coref,11g9w.0,Ein Anderer,ein_anderer_d,MALE,
gdc-coref,11g9w.0,Ein Anderer,ein_anderer_b,MALE,
gdc-coref,11g9w.0,Ein Anderer,ein_anderer_f,MALE,
gdc-coref,11g9w.0,Oranien,oranien,MALE,
gdc-coref,11g9w.0,Ein Anderer,ein_anderer_c,MALE,
gdc-coref,11g9w.0,Soest,soest,MALE,
gdc-coref,11g9w.0,Einige Andere/Mehrere/Das Volk/Andere (II/1),einige_andere_mehrere_das_volk_andere,UNKNOWN,
gdc-coref,11g9w.0,Seifensieder,seifensieder,MALE,
gdc-coref,11g9w.0,Klare/Klärchen,klare_klaerchen,FEMALE,
gdc-coref,11g9w.0,Zimmermeister,zimmermeister,MALE,
gdc-coref,11g9w.0,Machiavell,machiavell,MALE,
gdc-coref,11g9w.0,Anderer Bürger,anderer_buerger_a,MALE,
gdc-coref,11g9w.0,Ferdinand,ferdinand,MALE,
gdc-coref,11g9w.0,Jetter,jetter,MALE,
gdc-coref,11g9w.0,Ein Bürger,ein_buerger_b,MALE,
gdc-coref,11g9w.0,Mutter,mutter,FEMALE,
gdc-coref,11g9w.0,Egmont,egmont,MALE,
gdc-coref,11g9w.0,Gomez,gomez,MALE,
gdc-coref,11g9w.0,Alba,alba,MALE,
gdc-coref,11g9w.0,Ruysum,ruysum,MALE,
gdc-coref,11g9w.0,Ein Anderer,ein_anderer_e,MALE,
gdc-coref,11g9w.0,Silva,silva,MALE,
gdc-coref,11g9w.0,Ein Bürger,ein_buerger_c,MALE,
gdc-coref,11g9w.0,Sekretär,sekretaer,MALE,
gdc-coref,11g9w.0,Buyck,buyck,MALE,
