corpus,drama,figure_surface,figure_id,Gender,Age
gdc-coref,pkj2.0,BLUMIG,blumig,,
gdc-coref,pkj2.0,WIRT,wirt,,
gdc-coref,pkj2.0,EIN JUNGER BURSCHE,ein_junger_bursche,,
gdc-coref,pkj2.0,KRETSCHMER,kretschmer,,
gdc-coref,pkj2.0,JUNGE,junge,,
gdc-coref,pkj2.0,ERNST,ernsts_stimme,,
gdc-coref,pkj2.0,FRAU GLUMM,frau_glumm,,
gdc-coref,pkj2.0,VATER JAKOB,vater_jakob,,
gdc-coref,pkj2.0,FRAU HILDEBRANDT,frau_hildebrandt,,
gdc-coref,pkj2.0,HUHNDORF,huhndorf,,
gdc-coref,pkj2.0,BAUER HILDEBRANDT,bauer_hildebrandt,,
gdc-coref,pkj2.0,DIE BÄUERIN,bäuerin,,
gdc-coref,pkj2.0,BECKERN,beckern,,
gdc-coref,pkj2.0,TINE,tine,,
gdc-coref,pkj2.0,BAUER,bauer,,
gdc-coref,pkj2.0,DIE ARBEITER,die_beiden_arbeiter,,
gdc-coref,pkj2.0,DIE BAUERN,andere,,
gdc-coref,pkj2.0,FRAU KRETSCHMER,frau_kretschmer,,
gdc-coref,pkj2.0,DORFBURSCHEN UND DORFMÄDCHEN,dorfburschen_und_dorfmädchen,,
gdc-coref,pkj2.0,VIEHHÄNDLER,viehhändler,,
gdc-coref,pkj2.0,FRANZEL,franzel,,
gdc-coref,pkj2.0,EINIGE ANDERE,einige_andere,,
gdc-coref,pkj2.0,SCHINDLERN,schindlern,,
gdc-coref,pkj2.0,BREITE,breite,,
gdc-coref,pkj2.0,WIRTIN,wirtin,,
gdc-coref,pkj2.0,DIE ALTE MATTERN,die_alte_mattern,,
gdc-coref,pkj2.0,JOSEPH SCHINDLER,joseph_schindler,,
gdc-coref,pkj2.0,EINIGE BURSCHEN,einige_burschen,,
gdc-coref,pkj2.0,EINIGE MÄDCHEN,einige_mädchen,,
