corpus,drama,figure_surface,figure_id,Gender,Age
gdc-coref,x8nh.0,BELKOW,fritze_belkow,,
gdc-coref,x8nh.0,STUMMEL,peter_stummel,,
gdc-coref,x8nh.0,STURZ,hans_sturz,,
gdc-coref,x8nh.0,PERWENITZ,perwenitz,,
gdc-coref,x8nh.0,RIENEKE,rieneke,,
gdc-coref,x8nh.0,HEINSE LANG,heinse_lang,,
gdc-coref,x8nh.0,MARTIN,martin,,
gdc-coref,x8nh.0,DANNEWITZ,dannewitz,,
gdc-coref,x8nh.0,SECHELWEG,sechelweg,,
gdc-coref,x8nh.0,STROBAND,stroband,,
gdc-coref,x8nh.0,FINKE,köhne_finke,,
gdc-coref,x8nh.0,KÄTHE,käthe,,
gdc-coref,x8nh.0,GRETHE,grethe,,
gdc-coref,x8nh.0,KNECHT,knecht_1.11,,
gdc-coref,x8nh.0,RIEKE,rieke,,
gdc-coref,x8nh.0,KONRAD VON QUITZOW,konrad_von_quitzow,,
gdc-coref,x8nh.0,WICHART VON ROCHOW,wichart_von_rochow,,
gdc-coref,x8nh.0,MÄNNER UND FRAUEN,männer_und_frauen,,
gdc-coref,x8nh.0,GERTRUD,gertrud,,
gdc-coref,x8nh.0,AGNES,agnes,,
gdc-coref,x8nh.0,ORTWIN,propst_ortwin,,
gdc-coref,x8nh.0,DIE STRAUSSBERGER,die_straussberger,,
gdc-coref,x8nh.0,BRIESEN,briesen,,
gdc-coref,x8nh.0,SCHWERIN,schwerin,,
gdc-coref,x8nh.0,BARBARA,barbara,,
gdc-coref,x8nh.0,KASIMIR,kasimir,,
gdc-coref,x8nh.0,OTTO,otto,,
gdc-coref,x8nh.0,KRODENOW,krodenow,,
gdc-coref,x8nh.0,DIETRICH,dietrich,,
gdc-coref,x8nh.0,STIMME,stimme,,
gdc-coref,x8nh.0,SCHWALBE,schwalbe,,
gdc-coref,x8nh.0,BLANKENFELD,blankenfeld,,
gdc-coref,x8nh.0,DIE MUSIKANTEN,musikanten,,
gdc-coref,x8nh.0,GRECHEWITZ,grechewitz,,
gdc-coref,x8nh.0,HEROLD,herold,,
gdc-coref,x8nh.0,DIE EDELLEUTE,die_edelleute,,
gdc-coref,x8nh.0,DIE BÜRGER,die_bürger,,
gdc-coref,x8nh.0,ILEBURG,ileburg,,
gdc-coref,x8nh.0,PUTLITZ,putlitz,,
gdc-coref,x8nh.0,LIPPOLD VON BREDOW,lippold_von_bredow,,
gdc-coref,x8nh.0,ALLE BÜRGER,alle_bürger,,
gdc-coref,x8nh.0,SCHWABE,schwabe,,
gdc-coref,x8nh.0,FRIEDRICH,friedrich,,
gdc-coref,x8nh.0,STIMMEN,stimmen,,
gdc-coref,x8nh.0,GESANG,gesang,,
gdc-coref,x8nh.0,DAS VOLK,das_volk,,
gdc-coref,x8nh.0,DIE GANZE VERSAMMLUNG,die_ganze_versammlung,,
gdc-coref,x8nh.0,BRANDENBURGER RATMANNE,brandenburger_ratmanne,,
gdc-coref,x8nh.0,FRANKFURTER RATMANNE,frankfurter_ratmanne,,
gdc-coref,x8nh.0,SPANDAUER RATMANNE,spandauer_ratmanne,,
gdc-coref,x8nh.0,STIMMEN DER RATMANNEN,stimmen_der_ratmannen,,
gdc-coref,x8nh.0,RATHENOWER RATMANNE,rathenower_ratmanne,,
gdc-coref,x8nh.0,RUPPINER RATMANNE,ruppiner_ratmanne,,
gdc-coref,x8nh.0,HAVELBERGER RATMANNE,havelberger_ratmanne,,
gdc-coref,x8nh.0,DIE BERLINER,die_berliner,,
gdc-coref,x8nh.0,EIN KNECHT,ein_knecht,,
gdc-coref,x8nh.0,DIE KNECHTE,die_knechte,,
gdc-coref,x8nh.0,THOMAS WINS,wins,,
